PROVIDERID,PROVIDERNAME,COMPANYNAME,PROVIDERCOUNTRY,STATUS,PUBLICPRIVATE,SERVICENAME,ENTITY,PROFILE,FACILITIES,ACCEPTSDUOLINGO,ACCEPTSIELTS,ACCEPTSTOEFL,ACCEPTSSAT,ACCEPTSACT,WEBSITEURL,SCHOLARSHIPS,ACCOMMODATION,SPECIALSERVICES,AIRPORTPICKUP,STUDYABROAD,PROVIDERTYPE,GLOBALRANKING,AUSTRALIANRANKING,MEMBERSHIPS,CRICOSPROVIDERCODE,TWITTERID,FACEBOOK,LINKEDIN,PINTEREST,YOUTUBE,INSTAGRAM,ISACTIVE,RECOGNISEDAREAOFSTUDY,HASONCAMPUSACCOMMODATION,SCHOOLHASESL,URLWITHDRAWALPOLICY,URLIMPORTANTDATES,URLINTERNATIONALSTUDENTSUPPORT,URLFEESCHEDULE,URLSCHOLARSHIPINFO,URLPROVIDERHOME,RESEARCHDEGREEINFO,RESEARCHDEGREESCHIP,RESEARCHDEGREESCHOLARSHIP,EDUCATIONGROUP,ISAFFILIATED,URLSCHOOLGUARDIANSHIP,SCHOOLGENDER,SCHOOLIBOFFERED,SCHOOLACCOMMODATIONMODES,SCHOOLYEARSOFFERED,URLPROSPECTUS,KEYWORDS,ProviderCRMID
SN_P_0001,Macquarie University,,Australia,Active,Public ,Education,Independent,,"Hospital and clinics, Museums and collections, 
Sports, fitness and clubs",YES,YES,YES,YES,YES,https://www.mq.edu.au/,https://www.mq.edu.au/study/admissions-and-entry/scholarships,https://students.mq.edu.au/uni-life/accommodation,,,,University,138,11,,00002J,,,,,,,,"Business, Education, Engineering, Law, Science, Medicine and health, Arts and social sciences, Information technologies, Languages and linguistics, Media, communications and creative arts, Psychology and cognitive science, Security, intelligence and criminology",YES,YES,https://policies.mq.edu.au/document/view.php?id=120,https://www.mq.edu.au/study/admissions-and-entry/calendar,https://students.mq.edu.au/study/new-students/international/support-services,https://students.mq.edu.au/finances/fees/key-dates,https://www.mq.edu.au/study/admissions-and-entry/scholarships,https://www.mq.edu.au/,https://www.mq.edu.au/research/phd-and-research-degrees/explore-research-degrees,https://www.mq.edu.au/research/phd-and-research-degrees/how-to-apply/scholarship-opportunities,,,YES,https://policies.mq.edu.au/document/view.php?id=120,,,,,https://www.mq.edu.au/__data/assets/pdf_file/0017/1335410/international-student-guide-2025.pdf,"MQU, Macquarie University, Macquarie Uni, MQ University",129
SN_P_0002,Charles Sturt University,Charles Sturt University,Australia,Active,Public,Education,Independent,"The history of Charles Sturt University dates back to 1895, with the establishment of the Bathurst Experiment Farm. Formed progressively through the merge of regional institutions in south-western and western NSW, CSU was formally incorporated on 19 July 1989 under the Charles Sturt University Act 1989. As one of Australia's newer universities, CSU has been built on a tradition of excellence in teaching and research spanning more than 100 years.

Charles Sturt University has a proud history and we are very fortunate to have an outstanding group of diverse, passionate and engaged people working with us. Each person's experience of CSU will be the sum of the ways in which we all behave - as co-workers, as professionals and as the 'faces' of our university. As a values driven organization, we all therefore have an important role to play in bringing our values to life and making them part of our daily lives. Underpinning our ethos, our four values are shown below. These values aim to guide our behaviour and way of working to help us achieve our ethos of respectfully knowing how to live well in a world worth living in.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
On campus medical facilities
Parking
Religious facilities - Christianity
Religious facilities - Combined facilities
Religious facilities - Muslim prayer rooms
Social activities
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Swimming pool
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Wifi
",NO,YES,YES,,,https://www.csu.edu.au/,https://www.csu.edu.au/scholarships,https://www.csu.edu.au/current-students/uni-life/accommodation,,,,University,951,32,NA,00005F,,,,,,,,"Agricultural and Wine Sciences, Allied Health and Pharmacy, Animal and Veterinary Sciences, Business, Communication and Creative Industries, Engineering, Environmental Science & Outdoor Recreation, Exercise and Sports Sciences, Humanities, Social Work and Human Services, Information Technology, Computing and Mathematics, Information and Library Studies, Medical Science and Dentistry, Nursing, Midwifery and Indigenous Health, Policing, Law, Security and Emergency Management, Psychology, Science, Teaching and Education, Theology and Religious Studies.",YES,YES,https://www.csu.edu.au/current-students/studying/plan-your-study/change-or-cancel/enrolment,https://about.csu.edu.au/our-university/important-dates,https://www.csu.edu.au/current-students/support/international-students,https://www.csu.edu.au/current-students/financial-and-scholarship/fees/course-fees/international-students,https://study.csu.edu.au/international/scholarships,https://www.csu.edu.au/,https://research.csu.edu.au/,"https://www.csu.edu.au/scholarships/scholarships-grants/find-scholarship/research#:~:text=A%20potential%20combined%20package%20of,up%20to%20%2450%2C000%20per%20annum).&text=Awarded%20to%20International%20applicants%20studying,academic%20merit%20and%20research%20potential.",,,YES,,,,,,https://study.csu.edu.au/international,"CSU, Charles Sturt University",240
SN_P_0003,"University of Wollongong, Australia",University of Wollongong,Australia,Active,Public,Education,Independent,"In less than 50 years, UOW has become a benchmark for Australia's new generation of universities; dynamic, innovative and prominent in national and international rankings for the quality of our teaching and research.

Universities are key to the national innovation agenda and share an obligation to be at the forefront of contemporary policies and society. This is why we are focused on producing quality, accessible research through highly-cited and esteemed researchers. We will grow our innovation ecosystem and pursue the uptake of disruptive technologies that deliver positive economic impacts.

We must also anticipate the nature of emergent industries and future jobs as graduates need to be ethical, mobile, technologically literate and ready for multicultural workplaces. As international mobility increases, competition for the best academic and professional staff will also intensify. We will attract the best by unleashing our staff's performance, reducing complexity and optimising professional achievements.

We are a young and vibrant university with undiminished ambitions and a strong sense of who we are and where we are going.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
Halal food
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Overseas graduations
Parking
Religious facilities - Combined facilities
Religious facilities - Muslim prayer rooms
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Swimming pool
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Transportation
Wifi
",NO,YES,YES,,,https://www.uow.edu.au/,https://www.uow.edu.au/study/scholarships/,"(a)Live on campus:
Many students say one of the best parts of the university experience is living in a residence. Rarely will you have the chance to live in a community that has people from so many walks of life and countries. At Accommodation Services you will benefit from an environment committed to providing high academic achievement, involvement, development and fun.

All residences feature student development and peer mentor programs, social, sporting and cultural events, and 24/7 student well being care. Utilities, furniture, laundry, limited car parking, and environmentally responsible recycling programs are available at each residence.

(b)Live off campus:
(1)Rental - Rental or private accommodation is a great choice if you are looking for an independent lifestyle. There are some great places to live in Wollongong that are close to the university, shops, beaches and other attractions.

(2)Shared accommodation - Shared accommodation is a great idea if you want to live independently and want to meet new people. Share accommodation occurs when you either move into a house that is occupied by other people or you agree to rent a property with other people. Sharing a house with other people is a cost effective way to live because you share the costs of living with other people.

While shared accommodation is a great alternative to living by yourself, it can be complicated. You need to know exactly what you are looking for with your accommodation arrangements. There are some very important things you will need to consider when you are thinking about share accommodation.

(3)Short stays -  Temporary accommodation when you arrive so that you will be able to search for a suitable property. Temporary accommodation is typically accommodation sought for up to two weeks in duration.",,,,University,184,13,NA,00102E,,,,,,,,"Arts & Humanities, Business, Communications & Media, Creative Arts, Education, Engineering, Graduate School of Medicine, Health & Medicine Information & Communication Technology, International Studies, Law, Mathematics & Statistics, Physics, Psychology, Public & Population Health, Science, Social Sciences, Social Work",YES,,https://www.uow.edu.au/student/admin/leaving-uow/,https://www.uow.edu.au/study/important-dates/,https://www.uow.edu.au/student/support-services/support-for-international-students/,https://www.uow.edu.au/student/finances/international/,https://www.uow.edu.au/study/scholarships/,https://www.uow.edu.au/,https://www.uow.edu.au/research/graduate-research/future-students/higher-degrees-by-research/,https://www.uow.edu.au/research-and-innovation/graduate-research/hdr-scholarship-information/international-scholarships/,,,YES,,,,,,https://documents.uow.edu.au/content/groups/public/@web/@unia/documents/doc/uow000023.pdf,"UOW, University of Wollongong",158
SN_P_0004,Federation University,,Australia,Active,Public,Education,Independent,,"Learning spaces, Multi-faith rooms, Support for parents, Community connection",NO,YES,YES,,,https://www.federation.edu.au/,https://federation.edu.au/research/graduate-research-school/hdr-scholarships,https://federation.edu.au/about-us/facilities-and-services/commercial-services/fedliving/accommodation-options,,,,University,771,34,0,00103D,,,,,,,,"Business, Education, Engineering, Health & Allied Health, Information Technology, Nursing, Midwifery & Paramedicine, Pathways, Performing & Visual Arts, Psychology, Social Sciences, Arts & Community Services",YES,,https://federation.edu.au/current-students/essential-info/administration/taking-leave-or-withdrawing-from-studies,https://federation.edu.au/current-students/essential-info/administration/important-dates,https://www.federation.edu.au/contact/international-students/,https://federation.edu.au/current-students/essential-info/fees-and-charges/fees,https://federation.edu.au/current-students/starting-at-federation/scholarships/international-scholarships,https://www.federation.edu.au/,https://www.federation.edu.au/study/search/course-by-level/research/,0,,,YES,,,,,,https://federation.edu.au/__data/assets/pdf_file/0005/623444/International-Course-Summary_web.pdf,"Federation University Australia, FedUni, FedUni Australia",119
SN_P_0005,"The University of Newcastle, Australia","The University of Newcastle, Australia",Australia,Active,Public,Education,Education Group,"The University of Newcastle, Australia stands as a global leader distinguished by a commitment to equity and excellence and to creating a better future for its regions through a focus on innovation and impact.

We provide opportunities for people with ability, regardless of their background and experiences. We lead in providing education for indigenous Australians.
We deliver the highest quality in everything we do and benchmark ourselves against the world's best.

Our staff, students and alumni are a resource for our whole community.  We are partners and collaborators in world-class research, teaching and learning, and our skilled graduates contribute to our regions, Australia and the world.

We challenge standard practice and received wisdom. We are world leaders in generating new knowledge and translating innovative ideas into real benefits to society.","Canteen/Cafeteria Facility
Course and career counselling services
Halal food
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Overseas graduations
Parking
Religious facilities - Christianity
Religious facilities - Combined facilities
Religious facilities - Muslim prayer rooms
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Swimming pool
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Transportation
Wifi
",NO,YES,YES,,,https://www.newcastle.edu.au/,https://www.newcastle.edu.au/scholarships,"On Campus - Accommodation
Student Living is UON's award-winning accommodation precinct at Callaghan and Ourimbah campuses and is home to over 1800 students from all over the world. Our nine residences offer a variety of living options to suit our student community. Whether you're looking for a private or shared room, private or shared facilities, if you want to cook for yourself or you want someone else to cook for you.

Off Campus - Accommodation
If you want to live off-campus, there are lots of options for you close to the University including rooms, apartments and houses. UON offers a free off-campus accommodation service that is here to help you find the perfect place to live while you study.",,,,University Preparation,227,10,NA,00109J,,,,,,,,"Accounting and Finance, Architecture, Building and Construction, Business and Entrepreneurship, Community Services, Computing, Maths and Technology, Communication and Creative Industries, Education, Engineering, Health and Medical Services, Law, Science and the Environment, Society and Culture",YES,,https://askuon.newcastle.edu.au/app/answers/detail/a_id/32/~/how-do-i-withdraw-from-my-program%3F,https://www.newcastle.edu.au/dates,https://www.newcastle.edu.au/current-students/international-students/support,https://www.newcastle.edu.au/current-students/study-essentials/fees-scholarships/types-of-tuition-fees,https://www.newcastle.edu.au/scholarships/international-scholarships,https://www.newcastle.edu.au/,https://www.newcastle.edu.au/degrees/research,https://www.newcastle.edu.au/study/research/future-students/scholarships,,Kaplan,YES,,,,,,https://www.newcastle.edu.au/__data/assets/pdf_file/0010/811882/UON-Prospectus-2023.pdf,"UON, University of Newcastle Australia",256
SN_P_0006,Deakin University,Deakin University,Australia,Active,Public,Education,Independent,"Deakin University offers a personalised experience, enhanced by innovative digital engagement. We lead by creating opportunities to live and work in a connected, evolving world.

With over 40 years of experience as one of Australia's leading tertiary education providers, Deakin's won numerous awards and teaches over 60,000 students each year. We offer our students world-class programs and endless opportunities.

Deakin courses are structured to get the best out of students and staff. We design our teaching and learning to align with graduate learning outcomes and industry insight, through monitoring and updating courses.

Deakin promises to educate learners for the jobs and skills of the future with courses that are highly personal, engaging and include relevant learning experiences.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
Halal food
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Overseas graduations
Parking
Religious facilities - Christianity
Religious facilities - Combined facilities
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Temporary accommodation on arrival
Transportation
Wifi
",YES,YES,YES,,,https://www.deakin.edu.au/,https://www.deakin.edu.au/study/fees-and-scholarships/scholarships,"Deakin is here to support you when it comes to finding accommodation in Australia. Whether you want to live on campus or nearby in a local community, we are here to help.

On-campus accommodation: Living on campus is the best way to immerse yourself in the Deakin experience. We offer accommodation across all our campuses with various lease lengths available. Life on campus is both affordable and secure - it is the perfect place to meet new people and live close to where you study.  Indicative weekly rates: A$285 - A$362

Off-campus accommodation: There are plenty of options if you'd like to live off campus. Deakin's HouseMe website provides a database of local houses available to rent, near to each campus.

Stay at Deakin: Our on-campus accommodation isn't just for students. We welcome academics, school groups, families and individuals to stay with us throughout the year in Burwood and Warrnambool, and for the summer months in Geelong.",,,,University,207,15,Australian Technology Netwrok,00113B,,,,,,,,"Architecture and Construction Management; Business; Design; Education and Teaching; Engineering; English language; Environment; Food, Nutrition and Dietetics; Health Sciences and Allied Health; Humanities, Social Sciences and Languages; Information technology; Law; Media, Communication and Creative Arts; Medicine; Nursing and Midwifery; Psychology; Sciences; Sport",YES,,https://www.deakin.edu.au/students/enrolment-and-fees/manage-your-course/discontinue,https://www.deakin.edu.au/study/key-dates,https://www.deakin.edu.au/international-students/why-study-in-australia/living-in-australia/support,https://www.deakin.edu.au/international-students/entry-requirements/english/dueli/dates-and-fees,https://www.deakin.edu.au/study/fees-and-scholarships/scholarships,https://www.deakin.edu.au/,https://www.deakin.edu.au/research/why-choose-deakin-for-your-research-degree/research-degree-entry-requirements,https://www.deakin.edu.au/study/fees-and-scholarships/scholarships/find-a-scholarship/rtp-and-duprs,,,YES,,,,,,https://www.deakin.edu.au/__data/assets/pdf_file/0020/2741321/2025-UG-CourseGuide-DV-ls-v6.4-accessible.pdf,"Deakin University, DU",275
SN_P_0007,Flinders University,Flinders University,Australia,Active,Public,Education,Independent,"For over 50 years, Flinders has been a centre of inspiring achievement: from our pioneering research and excellence in teaching to the positive impact we have in the communities we serve.  

Inspiration leads to innovation. But innovation is more than just a buzzword at Flinders.

It extends from our founding Vice-Chancellor Peter Karmel's entreaty to 'experiment and experiment bravely' through to the creative, trailblazing work of our staff, students and alumni.

As we enter an era of disruptive change and remarkable technological innovation, Flinders is well prepared for this unpredictable, exciting future.

Our strong network of external links keeps our work dynamic, enabling us to connect across barriers to create enterprising solutions for the future, to make a difference by changing lives and, ultimately, the world.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Overseas graduations
Parking
Religious facilities - Christianity
Religious facilities - Combined facilities
Religious facilities - Muslim prayer rooms
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Temporary accommodation on arrival
Transportation
Wifi
",YES,YES,YES,,,https://www.flinders.edu.au/,https://www.flinders.edu.au/international/apply/scholarships,"Most of our students choose to either live on-campus at the University, or off-campus in one of the nearby suburbs.",,,,University,387,20,N/A,00114A,,,,,,,,"Business, Creative arts, Education, Engineering, Environment, Government, Health sciences, Humanities, Information technology, Law, Medicine, Nursing, Psychology, Public health, Science, Social sciences, Social work",YES,,https://students.flinders.edu.au/my-course/enrolment/withdrawal-implications,https://students.flinders.edu.au/key-dates,https://students.flinders.edu.au/support/iss,https://www.flinders.edu.au/content/dam/documents/study/international/international-commencing-tuition-fees-2025.pdf,https://www.flinders.edu.au/international/apply/scholarships,https://www.flinders.edu.au/,https://www.flinders.edu.au/international/apply/apply-research-degree,https://www.flinders.edu.au/scholarships/flinders-university-research-scholarships-furs1,,,YES,,,,,,https://www.flinders.edu.au/international/explore/course-guide,"Flinders University, FU, Flinders",265
SN_P_0008,La Trobe University,La Trobe University,Australia,Inactive,Public,Education,Independent,"We have been one of Australia's pioneering universities for more than 50 years. In 1967, 552 students enrolled at La Trobe University, the third university to open in Victoria, which has grown to accommodate more than 36,000 students, with over 7,000 international students from 110 countries.

We now have a network of campuses, with over 28,000 students at our Melbourne Campus and over 7,500 at our campuses in Albury-Wodonga, Bendigo, Mildura, Melbourne City (Collins Street), Shepparton and Sydney.

LaTrobe is dedicated to supporting you on the path to your chosen career. That's why our accredited courses are co-designed with industry and taught by experts in their fields. That means you'll benefit from their expertise and real-world experience. Designed with flexibility in mind, our Industry Placement Minor lets you complete one major placement in a single semester or multiple placements over two or more semesters. You'll apply your knowledge and skills in a professional environment, while gaining valuable","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Religious facilities - Christianity
Religious facilities - Combined facilities
Religious facilities - Muslim prayer rooms
Social activities
Special enrolment and orientation
Sporting facilities
Sporting facilities - Team sports
Temporary accommodation on arrival
Wifi
",NO,YES,YES,,,https://www.latrobe.edu.au/,https://www.latrobe.edu.au/study/scholarships,"La Trobe offers a wide range of accommodation options, including on-campus residential accommodation, homestay and off-campus accommodation.",,,,,233,19,NA,00115M,,,,,,,,"Arts, social sciences and communications; Business and commerce; Education and teaching; Health IT and engineering; Law and criminology; Science",YES,,https://www.latrobe.edu.au/students/international/support/finishing/withdrawal,https://www.latrobe.edu.au/calendar/academic-calendar,https://www.latrobe.edu.au/students/international/support/supportservices,https://www.latrobe.edu.au/sydney/study/courses/fees,https://www.latrobe.edu.au/study/scholarships,https://www.latrobe.edu.au/,https://www.latrobe.edu.au/study/apply/research,https://www.latrobe.edu.au/research/graduate-research/fees-and-scholarships/scholarships,,,YES,,,,,,https://www.latrobe.edu.au/__data/assets/pdf_file/0004/1014844/La-Trobe-Corporate-Brochure.pdf,"La Trobe University, La Trobe Uni, LTU",387
SN_P_0009,James Cook University Brisbane,James Cook University Brisbane,Australia,Active,Public,Education,Independent,"Conveniently located in a modern high-rise building in the heart of Brisbane's CBD, at James Cook University Brisbane (JCUB) you can explore a wide range of courses and find a study area that suits you.

Our campus features interactive learning spaces, comfortable student lounges and a resource centre where you can mingle with university staff and fellow students from over 88 countries.

As a JCUB student you have access to dedicated student support including opportunities for enhanced job-support services, academic learning advisors, counselling, employment assistance, and English language and academic pathways.","Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Overseas graduations
Parking
Religious facilities - Combined facilities
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Transportation
Wifi
",YES,YES,YES,,,https://www.jcu.edu.au/,https://www.jcu.edu.au/international-students/scholarships-and-financial-aid,"The Student One residences are located right in the heart of Brisbane's City Centre, only a short 200m or 3 minute walk away from the JCU Brisbane campus to either residence Student One Wharf Street or Student One Adelaide Street.

fully furnished and air-conditioned rooms
free unlimited high-speed internet
communal and breakout spaces for socialising and study
media and games rooms with large screens for movies and gaming
gym and free bicycles and purpose-built bicycle storage
communal kitchen and outdoor BBQ for cooking and entertaining
148 vehicle car parks for rent

International students can choose to live with a family in a homestay through the Australian Homestay Network (AHN). Students will enjoy everyday activities with their AHN homestay host including:

being shown around the community
help with the basics of Australian culture
taking part in everyday conversation
learning basics such as buying transport tickets, where the local shops are, how to access banking, internet, mobile phone and personal safety tips
help with English and 'Aussie' words and phrases
help with the search for appropriate longer term accommodation options if required
ongoing support from AHN
AHN Homestay is recommended as the best option for all new International Students visiting Australia for the first time.",,,,University,440,21,NA,00117J,,,,,,,,"Accounting, Business, Hospitality and  Tourism, Information Technology, Education",YES,,https://www.jcu.edu.au/students/enrolment/withdraw-from-subjects,https://www.jcu.edu.au/brisbane/study-essentials/important-dates,https://www.jcu.edu.au/international-students/coming-to-australia/student-services-and-support,https://www.jcu.edu.sg/courses-and-study/fees,https://www.jcu.edu.au/international-students/scholarships-and-financial-aid,https://www.jcu.edu.au/,https://www.jcu.edu.au/policy/academic-governance/research-education/higher-degree-by-research-requirements,https://www.jcu.edu.au/graduate-research-school/hdr-candidates/postgraduate-research-scholarships,,,YES,,,,,,https://www.jcu.edu.au/__data/assets/pdf_file/0007/104578/jcu_122162.pdf,"JCUB, JCU, James Cook University Brisbane",303
SN_P_0010,The University of Adelaide,The University of Adelaide,Australia,Active,Public,Education,Education Group,"143 years ago the University of Adelaide was founded with a noble goal: to prepare, for South Australia, young leaders shaped by education rather than birth or wealth in a settlement free of old world social and religious inequalities.

The University's first Vice-Chancellor, Dr Augustus Short, had a vision for a university open to investigate new fields such as the sciences, modern literature, art and moral philosophy; This vision was realised in 1882 when the University became the first in Australia to grant degrees in science.

The spirit of enquiry was further embraced and the freedom to explore non classical subjects continued. Before reaching the 1900s the University offered degrees in arts, science, law, medicine and music. Additionally mathematics, philosophy, languages and mining engineering were taught. These flagship degrees and disciplines continue at the University today, with the curriculum evolving over time through input from industry, and the pioneering research and discovery for which Adelaide's academics are known.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Parking
Religious facilities - Combined facilities
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Swimming pool
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Temporary accommodation on arrival
Wifi
",NO,YES,YES,,,https://www.adelaide.edu.au,https://international.adelaide.edu.au/admissions/scholarships,"Operated by the University for the exclusive use of University of Adelaide students. The University of Adelaide understands that accommodation plays an important role in setting the foundation for academic success. University of Adelaide students have access to an impressive portfolio of University-managed student accommodation options, made available specifically to support a successful transition into University life.

Book an online appointment (7 days a week) with an Accommodation Officer or meet an Accommodation Officer at the Accommodation Service in our new location (Level 3, Hub Central), Monday - Friday; 12 noon - 4 pm.

Talk to us about:

    University-managed student accommodation
    Other managed student accommodation options
    Tenancy support and advocacy
    Access to the rental database (students and providers) for private and shared accommodation
    Accommodation bookings for academic visitors
    Temporary and emergency accommodation
    School counsellor and international education agent accommodation enquiry",,,,University Preparation,82,8,"South Australia, Group of Eight",00123M,,,,,,,,"Arts, Education, Environmental Policy and Management, Indigenous Programs, International Development, International Studies, Languages, Media, Music, Social Sciences, Computer Science, Engineering, Mathematical Sciences, Dentistry & Oral Health, Health Sciences, Medicine, Nursing, Psychology, Architecture and Built Environment, Business, Economics & Finance, Innovation & Entrepreneurship, Law, Agriculture, Science",YES,,https://student.ask.adelaide.edu.au/app/answers/detail/a_id/2981/~/how-do-i-withdraw-or-discontinue-from-my-program%3F,https://online.adelaide.edu.au/important-dates,https://international.adelaide.edu.au/international-student-support,https://www.adelaide.edu.au/study/postgraduate/research-degrees/international-student-fees,https://international.adelaide.edu.au/admissions/scholarships,https://www.adelaide.edu.au/front/international?adobe_mc_sdid=SDID%3D0732840F7742396B-6E39A97DDBEA3F83%7CMCORGID%3DBA023B045D5A83160A495E49%40AdobeOrg%7CTS%3D1750927636&adobe_mc_ref=https%3A%2F%2Fwww.google.com%2F,https://www.adelaide.edu.au/graduate-research/future-students/adelaide-research-degrees,https://scholarships.adelaide.edu.au/Scholarships/postgraduate-research/all-faculties/university-of-adelaide-research-scholarships-0,,Kaplan,YES,,,,,,https://www.adelaide.edu.au/publications/international,"UA, UoA, UOA, University of Adelaide, Adelaide",258
